gene,CDS length,essentiality,SNV,InDel,lethal,Local CDS length,Local Intron length,Monroe CDS Count,Monroe intron Count,Weng CDS Count,Weng intron Count,Counts of AT homomeric runs (size >= 3bp) in CDS,Total length of AT homomeric runs (size >= 3bp) in CDS,Counts of AT homomeric runs (size >= 3bp) in intron,Total length of AT homomeric runs (size >= 3bp) in intron
AT1G04940,825,ESN,0,0,Lethal,825,451,0,0,0,0,20,69,33,106
AT1G04950,1650,ESN,0.000606061,0,Lethal,1650,2192,0,0,0,0,63,210,119,427
AT1G05180,1957,MRP,0.002141328,0,Non-lethal,1623,1796,0,0,0,0,63,218,103,371
AT1G05190,672,ESN,0,0,Lethal,672,552,0,0,0,0,28,97,36,139
AT1G05385,600,MRP,0.01,0,Non-lethal,600,302,0,0,0,0,31,105,30,116
AT1G05470,1854,CLB,0,0.000539374,Non-lethal,1854,1651,0,0,0,0,54,181,118,421
AT1G05600,1515,ESN,0,0,Lethal,1515,0,0,0,0,0,56,188,0,0
AT1G05630,3720,CLB,0.000577701,0,Non-lethal,3513,1158,0,0,0,0,107,364,63,232
AT1G05750,1503,ESN,0,0,Lethal,1503,0,0,0,0,0,51,175,0,0
AT1G05760,525,CND,0.001904762,0,Non-lethal,525,119,0,0,0,0,19,69,6,30
AT1G05850,966,MRP,0,0,Non-lethal,966,715,0,0,0,0,36,116,37,140
AT1G05990,453,CLB,0,0,Non-lethal,453,0,0,0,0,0,20,63,0,0
AT1G06040,1098,MRP,0,0,Non-lethal,747,251,0,0,0,0,22,68,13,42
AT1G06150,4053,ESN,0.000323939,0,Lethal,3969,2097,0,0,0,0,139,465,110,404
AT1G06160,735,CND,0.032653061,0.001360544,Non-lethal,735,0,0,0,0,0,24,78,0,0
AT1G06220,2964,ESN,0.001349528,0.000337382,Lethal,2964,1367,0,0,0,0,77,256,85,305
AT1G06230,2301,MRP,0,0,Non-lethal,2301,566,0,0,0,0,70,239,27,99
AT1G06290,2028,CND,0.000986193,0,Non-lethal,2028,1552,0,0,0,0,68,222,89,325
AT1G06400,651,CND,0,0,Non-lethal,651,947,0,0,0,0,20,65,48,172
AT1G06490,5877,MRP,0.001020929,0,Non-lethal,5877,4657,0,1,0,0,236,801,288,1048
AT1G06520,1758,MRP,0,0,Non-lethal,1758,140,0,0,0,0,62,213,14,48
AT1G06570,2679,ESN,0.001493094,0,Lethal,1422,107,0,0,0,0,39,129,6,18
AT1G06780,1921,CLB,0.007264599,0,Non-lethal,1809,1356,0,0,0,0,67,226,68,246
AT1G06950,3051,ESN,0.000327761,0,Lethal,3051,2210,0,0,0,0,107,359,120,458
AT1G07130,483,MRP,0,0,Non-lethal,483,0,0,0,0,0,12,37,0,0
AT1G07320,2534,ESN,0,0,Lethal,849,151,0,0,0,0,23,76,13,45
AT1G07360,1446,MRP,0,0,Non-lethal,1446,788,0,0,0,0,33,109,54,190
AT1G07530,2310,CND,0.003030303,0.0004329,Non-lethal,2310,101,0,0,0,0,82,269,6,24
AT1G07630,1989,MRP,0,0,Non-lethal,1989,260,0,0,0,0,69,225,16,57
AT1G07890,825,MRP,0,0,Non-lethal,753,919,0,0,0,0,18,58,52,184
AT1G07930,2007,CND,0.006480356,0.000810045,Non-lethal,1350,740,0,0,0,0,15,47,45,157
AT1G08030,1503,MRP,0,0,Non-lethal,1503,1906,0,0,0,0,54,187,122,446
AT1G08060,6006,CLB,0.0001665,0,Non-lethal,6006,2789,0,0,0,0,250,855,155,558
AT1G08090,1593,CLB,0.004394225,0,Non-lethal,1593,189,0,0,0,0,36,113,11,38
AT1G08130,2373,ESN,0,0.000421408,Lethal,2373,2530,0,0,0,0,98,338,149,543
AT1G08190,2943,ESN,0.001359157,0.001019368,Lethal,2943,2548,0,0,0,0,88,290,162,598
AT1G08260,6486,ESN,0.000770891,0,Lethal,6486,9463,0,0,0,0,242,843,535,1998
AT1G08370,1104,ESN,0.000905797,0,Lethal,1104,909,0,0,0,0,31,101,46,152
AT1G08430,1482,CND,0.005398111,0,Non-lethal,1482,748,0,0,0,0,55,185,56,204
AT1G08450,1442,CND,0,0.00083612,Non-lethal,1275,2518,0,0,0,0,52,171,148,545
AT1G08510,1239,ESN,0.001614205,0,Lethal,1239,1245,0,0,0,0,30,102,73,299
AT1G08520,2283,ESN,0.001752081,0.00043802,Lethal,2283,1999,0,0,0,0,75,254,120,427
AT1G08540,1719,MRP,0,0.000581734,Non-lethal,1719,1517,0,0,0,0,58,188,84,302
AT1G08550,1389,CLB,0.000719942,0,Non-lethal,1389,832,0,0,0,0,43,151,44,165
AT1G08560,933,ESN,0,0.001071811,Lethal,933,90,0,0,0,0,28,91,6,21
AT1G08630,1094,CLB,0,0,Non-lethal,1077,1613,0,0,0,0,23,75,100,363
AT1G08660,1525,ESN,0,0,Lethal,1425,1137,0,0,0,0,42,141,71,248
AT1G08720,2802,CND,0,0,Non-lethal,2802,2187,0,0,0,0,76,258,138,510
AT1G08810,1437,CLB,0,0,Non-lethal,843,208,0,0,0,0,30,94,17,59
AT1G08840,3948,ESN,0.001530808,0.000510269,Lethal,3948,5025,0,0,0,0,134,451,297,1058
AT1G09090,2656,MRP,0.000227221,0,Non-lethal,2532,1221,0,0,0,0,93,319,80,312
AT1G09100,1272,CND,0,0,Non-lethal,1272,1312,0,0,0,0,36,124,76,285
AT1G09210,1275,MRP,0.000784314,0,Non-lethal,1275,2164,0,0,0,0,33,103,129,454
AT1G09270,1699,CND,0,0,Non-lethal,1617,1711,0,0,0,0,43,144,104,374
AT1G09530,1575,MRP,0,0,Non-lethal,1575,1001,0,0,0,0,53,170,73,270
AT1G09540,1101,MRP,0,0,Non-lethal,1101,256,0,0,0,0,44,140,15,58
AT1G09570,5104,CND,0.000311818,0,Non-lethal,3369,1273,0,0,0,0,112,363,67,242
AT1G09700,1260,MRP,0.002380952,0,Non-lethal,1260,899,0,0,0,0,51,173,50,170
AT1G09770,2535,ESN,0.001577909,0,Lethal,2535,586,0,0,0,0,89,312,35,133
AT1G09940,1593,CLB,0,0,Non-lethal,1593,446,0,0,0,0,41,135,30,102
AT1G09970,3308,MRP,0,0,Non-lethal,2934,87,0,0,0,0,99,323,5,19
AT1G10130,2997,CND,0.000333667,0.001668335,Non-lethal,2997,7806,0,0,0,0,101,348,430,1539
AT1G10170,3567,CND,0,0,Non-lethal,3567,0,0,0,0,0,89,289,0,0
AT1G10270,2742,ESN,0.000364697,0,Lethal,2742,0,0,0,0,0,62,200,0,0
AT1G10310,729,CLB,0.005486968,0,Non-lethal,729,1413,0,0,0,0,18,57,70,250
AT1G10370,684,CND,0,0,Non-lethal,684,316,0,0,0,0,22,71,23,82
AT1G10470,780,CND,0.008974359,0,Non-lethal,780,356,0,0,0,0,22,67,29,131
AT1G10510,1818,ESN,0.00110011,0,Lethal,1818,2002,0,0,0,0,67,215,108,386
AT1G10760,4200,CLB,0.00047619,0,Non-lethal,4200,5225,0,0,0,0,153,530,271,977
AT1G10840,1064,ESN,0.020373514,0,Lethal,1014,1401,0,0,0,0,36,117,76,279
AT1G10910,1995,ESN,0.000501253,0,Lethal,1995,2072,0,0,0,0,81,270,116,410
AT1G10920,2184,CND,0,0.000457875,Non-lethal,2184,502,0,0,0,0,96,322,33,108
AT1G10930,3567,CND,0.001962433,0.000841043,Non-lethal,3567,3781,0,0,0,0,141,484,222,792
AT1G11000,1722,CND,0,0,Non-lethal,1722,2253,0,0,0,0,62,197,131,477
AT1G11130,2307,MRP,0.005635024,0,Non-lethal,2307,1737,0,0,0,0,70,231,108,394
AT1G11310,1794,CND,0,0,Non-lethal,1722,1250,0,0,0,0,68,233,78,296
AT1G11350,2493,CND,0,0,Non-lethal,2493,535,0,0,0,0,85,285,31,110
AT1G11680,1467,ESN,0,0,Lethal,1467,422,0,0,0,0,45,154,20,72
AT1G11720,4444,CLB,0.001559089,0,Non-lethal,3285,1959,0,0,0,0,151,519,123,435
AT1G11755,765,ESN,0.007843137,0,Lethal,765,829,0,0,0,0,28,94,53,188
AT1G11870,1725,ESN,0,0,Lethal,1545,1117,0,0,0,0,50,162,71,257
AT1G11890,657,ESN,0,0,Lethal,657,1253,0,0,0,0,27,88,73,259
AT1G12040,2235,CLB,0,0,Non-lethal,2235,0,0,0,0,0,53,169,0,0
AT1G12110,1773,CLB,0.001128032,0,Non-lethal,1773,2177,0,0,0,0,47,161,157,580
AT1G12220,2670,CND,0.001123596,0,Non-lethal,2670,0,0,0,0,0,109,370,0,0
AT1G12240,1995,MRP,0.014035088,0.000501253,Non-lethal,1995,1764,0,0,0,0,59,196,130,482
AT1G12260,1188,ESN,0,0,Lethal,1188,1150,0,0,0,0,34,119,66,241
AT1G12360,2001,ESN,0.00049975,0,Lethal,2001,2972,0,0,0,0,80,275,170,597
AT1G12370,1532,CND,0.002699055,0,Non-lethal,1491,852,0,0,0,0,49,160,57,198
AT1G12410,840,ESN,0,0,Lethal,840,1016,0,0,0,0,26,87,74,252
AT1G12480,1671,CND,0.000598444,0,Non-lethal,1671,152,0,0,0,0,77,258,6,20
AT1G12550,972,CLB,0.012345679,0,Non-lethal,972,211,0,0,0,0,25,81,16,57
AT1G12770,1656,ESN,0.002415459,0,Lethal,1656,553,0,0,0,0,57,195,32,113
AT1G12840,1128,CND,0,0,Non-lethal,1128,1509,0,0,0,0,37,122,90,314
AT1G12920,1305,CND,0,0,Non-lethal,1305,190,0,0,0,0,48,153,13,45
AT1G12950,1569,CLB,0.001912046,0,Non-lethal,1569,1045,0,0,0,0,59,196,84,287
AT1G12980,987,MRP,0,0,Non-lethal,987,0,0,0,0,0,30,110,0,0
AT1G13220,3828,CLB,0,0.000219154,Non-lethal,3387,986,0,0,0,0,152,513,63,219
AT1G13230,1275,CND,0.000784314,0,Non-lethal,1275,486,0,0,0,0,60,199,40,147
AT1G13290,909,MRP,0.00550055,0,Non-lethal,909,253,0,0,0,0,28,96,20,75
AT1G13330,681,MRP,0.005873715,0,Non-lethal,681,1644,0,0,0,0,33,110,81,298
AT1G13870,909,MRP,0,0,Non-lethal,909,230,0,0,0,0,29,92,13,48
AT1G13930,468,CND,0.002136752,0,Non-lethal,468,0,0,0,0,0,10,31,0,0
AT1G13980,4356,ESN,0.001147842,0,Lethal,4356,1261,0,0,0,0,147,490,77,266
AT1G14000,1317,CLB,0.000759301,0,Non-lethal,1317,1121,0,0,0,0,47,151,77,277
AT1G14150,1062,CLB,0,0,Non-lethal,573,175,0,0,0,0,16,52,10,36
AT1G14280,1329,CND,0,0,Non-lethal,1329,0,0,0,0,0,38,131,0,0
AT1G14320,994,ESN,0.001731602,0.001731602,Lethal,663,476,0,0,0,0,18,63,28,104
AT1G14350,1311,CLB,0,0,Non-lethal,1311,910,0,0,0,0,45,159,68,265
AT1G14400,459,MRP,0,0,Non-lethal,459,685,0,0,0,0,12,37,38,131
AT1G14610,3327,ESN,0.003606853,0,Lethal,3327,2658,0,0,1,0,120,414,153,552
AT1G14660,2432,CND,0.006706908,0,Non-lethal,2271,2006,0,0,0,0,90,313,105,388
AT1G14720,999,MRP,0,0,Non-lethal,999,662,0,0,0,0,35,118,48,176
AT1G14750,2253,MRP,0,0.000673401,Non-lethal,1737,1013,0,0,0,0,42,135,49,174
AT1G14830,1845,ESN,0,0,Lethal,1845,1927,0,0,0,0,74,243,109,376
AT1G14870,459,CND,0.015250545,0.004357298,Non-lethal,459,409,0,0,0,0,10,33,28,105
AT1G14920,1602,CND,0,0,Non-lethal,1602,0,0,0,0,0,38,123,0,0
AT1G15020,2041,CND,0.000645995,0.000645995,Non-lethal,1587,1178,0,0,0,0,61,211,60,221
AT1G15100,468,CND,0.002136752,0,Non-lethal,468,0,0,0,0,0,14,43,0,0
AT1G15220,480,ESN,0,0,Lethal,480,167,0,0,0,0,13,46,9,34
AT1G15510,2601,ESN,0.000384468,0,Lethal,2601,0,0,0,0,0,89,304,0,0
AT1G15520,4272,CND,0.001404494,0,Non-lethal,4272,1911,0,1,0,0,135,443,116,429
AT1G15550,1077,MRP,0,0,Non-lethal,1077,433,0,0,0,0,32,101,27,99
AT1G15570,1353,CLB,0,0,Non-lethal,1353,1655,0,0,0,0,45,149,121,456
AT1G15690,2607,MRP,0.000471476,0,Non-lethal,2313,758,0,0,0,0,58,186,40,152
AT1G15820,777,MRP,0,0,Non-lethal,777,215,0,0,0,0,20,66,8,27
AT1G15950,1222,MRP,0.013665203,0,Non-lethal,1035,2026,0,0,0,0,19,62,131,519
AT1G15960,1584,CND,0,0,Non-lethal,1584,1281,0,0,0,0,60,193,64,235
AT1G15980,1386,CLB,0.001443001,0,Non-lethal,1386,500,0,0,0,0,52,174,33,123
AT1G16060,1111,MRP,0.008574491,0.000535906,Non-lethal,1038,2009,0,0,0,0,36,119,146,544
AT1G16150,2340,MRP,0,0,Non-lethal,2340,123,0,0,0,0,84,283,5,18
AT1G16280,1476,ESN,0.000677507,0,Lethal,1476,530,0,0,0,0,59,201,30,98
AT1G16410,1917,MRP,0.002769124,0,Non-lethal,1617,640,0,0,0,0,62,208,40,150
AT1G16540,2460,MRP,0.000406504,0,Non-lethal,2460,3277,0,0,0,0,93,319,192,698
AT1G16590,648,CND,0,0,Non-lethal,648,357,0,0,0,0,22,74,22,74
AT1G16610,1597,MRP,0.008006405,0,Non-lethal,1278,1484,0,0,0,0,27,93,73,256
AT1G16720,1797,ESN,0.002782415,0.000556483,Lethal,1797,1291,0,0,0,0,54,178,84,300
AT1G16970,1866,CND,0.000535906,0,Non-lethal,1866,2700,0,0,0,0,70,241,191,672
AT1G17110,2915,MRP,0.000359583,0,Non-lethal,2787,1883,0,0,0,0,99,323,124,454
AT1G17140,1035,MRP,0,0,Non-lethal,1035,377,0,0,0,0,34,107,26,93
AT1G17220,3081,ESN,0.00129828,0,Lethal,3081,1702,0,0,0,0,121,405,103,362
AT1G17290,1632,CND,0.000612745,0,Non-lethal,1632,1691,0,0,0,0,43,144,115,411
AT1G17560,591,MRP,0,0,Non-lethal,591,349,0,0,0,0,26,86,22,79
AT1G17690,2265,ESN,0.006181015,0,Lethal,2265,3015,0,0,0,0,94,328,172,601
AT1G17840,2112,MRP,0.000473485,0,Non-lethal,2112,913,0,0,0,1,64,203,61,225
AT1G17980,2277,ESN,0.000512426,0,Lethal,2142,1535,0,0,0,0,87,286,83,287
AT1G18080,984,MRP,0.00203252,0,Non-lethal,984,593,0,0,0,0,21,67,31,107
AT1G18100,522,CND,0.001915709,0,Non-lethal,522,1540,0,0,0,0,14,47,97,342
AT1G18370,2925,ESN,0.001025641,0,Lethal,2925,1455,0,0,0,0,105,341,88,326
AT1G18450,1326,MRP,0.001508296,0,Non-lethal,1326,2242,0,1,0,0,37,122,141,496
AT1G18500,1896,MRP,0.001582278,0,Non-lethal,1896,1619,0,0,0,0,63,212,88,337
AT1G18570,1059,CLB,0,0,Non-lethal,1059,203,0,0,0,0,31,106,11,42
AT1G18580,1614,CLB,0,0,Non-lethal,1614,248,0,0,0,0,57,182,18,64
AT1G18730,856,CLB,0,0.00408998,Non-lethal,528,955,0,0,0,0,16,49,45,174
AT1G18890,1638,CND,0,0,Non-lethal,1638,631,0,0,0,0,57,192,38,142
AT1G19080,558,ESN,0,0,Lethal,558,1346,0,0,0,0,21,73,86,309
AT1G19220,3261,CND,0.000919963,0,Non-lethal,3261,1124,0,0,0,0,110,368,85,294
AT1G19250,1593,CND,0.000627746,0,Non-lethal,1593,805,0,0,0,0,58,191,47,160
AT1G19270,1599,MRP,0.005628518,0.001250782,Non-lethal,1599,1182,0,0,0,0,52,174,81,303
AT1G19300,1056,MRP,0,0,Non-lethal,1056,0,0,0,0,0,29,98,0,0
AT1G19520,3297,ESN,0,0,Lethal,2178,372,0,0,0,0,93,301,23,78
AT1G19750,1353,CND,0,0,Non-lethal,1353,1712,0,0,0,0,45,156,86,305
AT1G19800,1053,ESN,0,0,Lethal,1053,261,0,0,0,0,39,121,18,63
AT1G19850,2709,ESN,0.002583979,0,Lethal,2709,1121,0,0,0,0,73,243,78,279
AT1G20020,1577,CND,0.00091659,0,Non-lethal,1110,908,0,0,0,0,53,173,58,211
AT1G20050,672,ESN,0.001488095,0.001488095,Lethal,672,304,0,0,0,0,23,75,22,77
AT1G20090,588,CLB,0,0,Non-lethal,588,793,0,0,0,0,18,63,55,197
AT1G20110,1806,MRP,0.00110742,0.00055371,Non-lethal,1806,1219,0,0,0,0,48,156,68,250
AT1G20200,1467,ESN,0.003408316,0,Lethal,1467,1414,0,0,0,0,41,138,83,299
AT1G20330,1086,MRP,0,0,Non-lethal,1086,0,0,0,0,0,29,94,0,0
AT1G20450,1563,MRP,0.005118362,0,Non-lethal,783,90,0,0,0,0,21,71,10,36
AT1G20780,2406,MRP,0,0,Non-lethal,2406,780,0,0,0,0,81,273,56,198
AT1G20840,2205,CLB,0.000907029,0,Non-lethal,2205,706,0,0,0,0,62,204,58,219
AT1G20960,6516,ESN,0.000613874,0,Lethal,6516,1490,0,0,0,0,178,608,92,326
AT1G20980,3108,MRP,0,0,Non-lethal,3108,784,0,0,0,0,103,343,49,183
AT1G21270,2199,ESN,0,0,Lethal,2199,150,0,0,0,0,70,240,10,39
AT1G21310,1296,ESN,0.06095679,0.002314815,Lethal,1296,111,0,0,0,0,48,151,2,7
AT1G21390,747,ESN,0,0.001338688,Lethal,747,423,0,0,0,0,28,93,33,118
AT1G21600,987,ESN,0.004052685,0,Lethal,987,1282,0,0,0,0,29,96,63,214
AT1G21650,5908,ESN,0.000170198,0,Lethal,5418,5844,0,0,0,0,215,728,321,1164
AT1G21690,1264,ESN,0.000992802,0,Lethal,1026,1721,0,0,0,0,30,99,92,356
AT1G21700,2424,MRP,0,0.001237624,Non-lethal,2424,1399,0,0,0,0,81,269,66,238
AT1G21760,987,CND,0,0,Non-lethal,987,1303,0,0,0,0,32,104,71,250
AT1G21840,723,CND,0.004149378,0,Non-lethal,723,0,0,0,0,0,28,94,0,0
AT1G21970,717,ESN,0,0,Lethal,717,1105,0,0,0,0,12,41,80,316
AT1G22090,990,ESN,0.001010101,0,Lethal,990,542,0,0,0,0,29,103,31,107
AT1G22260,2616,MRP,0,0,Non-lethal,2616,2667,0,0,0,0,125,421,158,552
AT1G22270,375,MRP,0,0,Non-lethal,375,0,0,0,0,0,13,40,0,0
AT1G22275,2571,MRP,0.000388954,0,Non-lethal,2571,2612,0,0,0,0,117,394,150,519
AT1G22310,2387,MRP,0,0,Non-lethal,1575,356,0,0,0,0,44,143,21,75
AT1G22400,1470,CND,0.000680272,0.001360544,Non-lethal,1470,1287,0,0,0,0,50,176,88,334
AT1G22620,2739,MRP,0,0,Non-lethal,2739,2160,0,0,0,0,96,320,126,434
AT1G22700,1409,ESN,0,0,Lethal,906,650,0,0,0,0,36,113,29,104
AT1G22710,1539,ESN,0.00259909,0,Lethal,1539,521,0,0,0,0,52,178,43,168
AT1G22770,3522,MRP,0.00028393,0,Non-lethal,3522,1737,0,0,0,0,103,343,86,320
AT1G22780,459,MRP,0.004357298,0,Non-lethal,459,715,0,0,0,0,12,41,37,140
AT1G22920,1224,MRP,0.001408451,0,Non-lethal,1074,940,0,0,1,0,17,54,57,200
AT1G22940,1569,ESN,0.00446144,0.000637349,Lethal,1569,956,0,0,0,0,51,176,52,192
AT1G23010,1746,CND,0.002290951,0,Non-lethal,1746,482,0,0,0,0,58,190,34,136
AT1G23090,1896,MRP,0.007911392,0.001054852,Non-lethal,1896,1821,0,0,0,0,65,215,128,481
AT1G23310,1456,MRP,0,0,Non-lethal,1446,1432,0,0,0,0,47,154,82,279
AT1G23400,1695,ESN,0,0,Lethal,1695,847,0,0,0,0,54,175,48,170
AT1G23420,696,MRP,0.005747126,0,Non-lethal,696,986,0,0,0,0,24,83,65,219
AT1G24180,1182,MRP,0,0,Non-lethal,1182,1424,0,0,0,0,41,136,85,301
AT1G24340,2130,ESN,0.001877934,0,Lethal,2130,1321,0,0,0,0,79,267,81,296
AT1G24450,576,ESN,0,0,Lethal,576,301,0,0,0,0,25,79,19,69
AT1G24490,1500,MRP,0.002422984,0.000692281,Non-lethal,1500,1103,0,0,0,0,54,191,65,240
AT1G24590,921,MRP,0.003257329,0,Non-lethal,921,0,0,0,0,0,29,94,0,0
AT1G24706,5539,ESN,0.000918527,0,Lethal,5472,7656,0,0,0,0,205,686,414,1508
AT1G25350,2612,ESN,0.000417449,0,Lethal,2403,2523,0,0,0,0,86,294,154,568
AT1G25490,1767,MRP,0.000565931,0.001131862,Non-lethal,1767,1796,0,0,0,0,45,156,109,393
AT1G25540,2514,CND,0.000425985,0.00085197,Non-lethal,2511,2544,0,0,0,0,62,200,148,524
AT1G26110,1890,ESN,0,0,Lethal,1836,1105,0,0,0,0,51,166,52,181
AT1G26630,522,MRP,0,0,Non-lethal,480,651,0,0,0,0,8,27,45,164
AT1G26670,669,CND,0.001494768,0,Non-lethal,669,1022,0,0,0,0,14,44,55,191
AT1G26780,1526,MRP,0.000520021,0,Non-lethal,1080,351,0,0,0,0,33,111,28,114
AT1G26910,666,MRP,0,0,Non-lethal,666,439,0,0,0,0,23,72,27,99
AT1G27080,1731,MRP,0.000577701,0,Non-lethal,1731,1395,0,0,0,0,56,183,101,363
AT1G27320,3111,CND,0.00032144,0,Non-lethal,3111,1231,0,0,0,0,103,342,56,209
AT1G27360,1182,MRP,0.002538071,0,Non-lethal,1182,395,0,0,0,0,40,133,17,55
AT1G27370,1191,MRP,0.007556675,0,Non-lethal,1191,353,0,0,0,0,50,166,18,65
AT1G27390,633,MRP,0.001579779,0,Non-lethal,633,811,0,0,0,0,20,66,48,166
AT1G27440,1239,CLB,0,0,Non-lethal,1239,710,0,0,0,0,43,147,31,109
AT1G27450,1132,MRP,0,0,Non-lethal,855,911,0,0,0,0,29,93,56,197
AT1G27760,1541,MRP,0.003825555,0.000510074,Non-lethal,1326,1102,0,0,0,0,53,170,71,266
AT1G27840,1601,CND,0,0,Non-lethal,1356,1570,0,0,0,0,45,148,75,264
AT1G27950,582,CLB,0,0,Non-lethal,582,670,0,0,0,0,18,56,43,156
AT1G28300,1092,ESN,0.01007326,0,Lethal,1092,1693,0,0,0,0,34,117,141,548
AT1G28320,2130,CND,0.000469484,0.000469484,Non-lethal,2130,1545,0,0,0,0,68,226,90,311
AT1G28380,1839,MRP,0,0,Non-lethal,1839,526,0,0,0,0,67,211,38,159
AT1G28490,903,MRP,0,0,Non-lethal,738,1053,0,0,0,0,19,69,59,210
AT1G28560,1161,MRP,0,0,Non-lethal,1161,1630,0,0,0,0,49,165,88,310
AT1G29260,954,MRP,0,0,Non-lethal,954,0,0,0,0,0,27,85,0,0
AT1G29690,1686,MRP,0.00059312,0.00059312,Non-lethal,1686,866,0,0,0,0,59,193,54,188
AT1G29900,3564,MRP,0.013748597,0.00308642,Non-lethal,3564,249,0,0,0,0,113,377,21,73
AT1G29940,3537,ESN,0.002544529,0,Lethal,3537,3812,0,0,0,0,142,480,230,841
AT1G29990,390,CND,0,0,Non-lethal,390,766,0,0,0,0,18,60,49,164
AT1G30010,2136,MRP,0,0,Non-lethal,2136,463,0,0,0,1,86,287,27,89
